2024.05.12,00:00,39532.6,40077.5,39312.1,40076.1,147480
2024.05.19,00:00,40073.7,40107.8,39024.6,39066.7,161214
2024.05.26,00:00,39067.6,39184.6,38057.4,38802.6,180989
2024.06.02,00:00,38802.1,39158.7,38295.4,38850.2,218845
2024.06.09,00:00,38850.5,39202.9,38328.9,38616.2,224098
2024.06.16,00:00,38617.7,39332.7,38477.6,39238.0,177617
2024.06.23,00:00,39239.5,39662.8,38974.9,39199.1,203819
2024.06.30,00:00,39200.0,39510.2,39051.6,39364.8,146099
2024.07.07,00:00,39364.7,40316.2,39185.9,40129.1,185079
2024.07.14,00:00,40128.5,41446.0,40106.6,40436.5,260275
2024.07.21,00:00,40437.1,40793.5,39849.7,40746.5,269604
2024.07.28,00:00,40745.5,41256.3,39367.6,39511.6,357918
2024.08.04,00:00,39509.5,39648.7,38408.8,39508.2,461689
2024.08.11,00:00,39508.8,40763.6,39247.5,40746.8,263664
2024.08.18,00:00,40747.7,41267.8,40607.9,41192.8,197522
2024.08.25,00:00,41193.4,41631.3,40872.1,41586.3,273905
2024.09.01,00:00,41585.5,41614.8,40331.7,40403.7,327335
2024.09.08,00:00,40403.9,41587.0,40045.6,41490.3,351475
2024.09.15,00:00,41491.8,42237.8,41419.7,42134.4,308856
2024.09.22,00:00,42135.4,42703.8,41894.9,42407.4,228214
2024.09.29,00:00,42408.3,42448.3,41874.6,42417.9,283954
2024.10.06,00:00,42417.0,42942.3,41842.0,42904.0,272090
2024.10.13,00:00,42903.1,43382.3,42731.0,43376.1,244026
2024.10.20,00:00,43376.5,43386.5,42077.2,42297.0,266848
2024.10.27,00:00,42296.1,42550.3,41739.2,41974.5,330169
2024.11.03,00:00,41975.3,44214.2,41684.1,44118.7,359442
2024.11.10,00:00,44117.9,44549.3,43406.1,43483.5,298216
2024.11.17,00:00,43484.3,44600.6,42926.6,44571.6,361599
2024.11.24,00:00,44570.8,45149.3,44502.1,44981.4,218057
2024.12.01,00:00,44982.2,45153.9,44655.0,44729.3,215173
2024.12.08,00:00,44728.3,44808.4,43885.0,43968.3,529895
2024.12.15,00:00,43968.5,44099.0,42175.8,43120.2,1088693
2024.12.22,00:00,43121.2,43454.5,42621.0,43039.8,646919
2024.12.29,00:00,43040.3,43049.2,42214.9,42775.3,895846
2025.01.05,00:00,42774.8,43165.4,41883.1,41966.7,897144
2025.01.12,00:00,41965.2,43681.5,41757.6,43480.8,933050
2025.01.19,00:00,43481.4,44607.4,43323.6,44366.4,467906
2025.01.26,00:00,44365.8,45101.4,43859.4,44076.0,926619
2025.02.02,00:00,44075.5,45087.5,43858.0,44388.2,973128
2025.02.09,00:00,44387.7,44808.4,44118.9,44569.3,678575
2025.02.16,00:00,44568.8,44687.1,43358.1,43568.5,626133
2025.02.23,00:00,43569.3,43937.3,43121.0,43899.4,1574898
2025.03.02,00:00,43898.9,44084.3,42206.9,42597.8,2210852
2025.03.09,00:00,42597.0,42705.3,40709.3,41338.5,2175445
